DIVERTER WHEEL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ITEM CODE,DIA,WIDTH,NO.OF GROOVES,ROPE DIAMETER,PITCH,"BEARING
(MAKE-FAG)",Material ,Shaft Diameter,RATED LOAD,,,,,SHAFT DETAILS,,
,,,,,,,,,,,,,,SHAFT OUTER DIAMETER,SHAFT GROOVE DISTANCE,SHAFT LENGTH
,"A
(mm)","L
(mm)",N,"RD
(mm)","P
(mm)",,,"ØB
(mm)",kg,,,,,,,
,,,,,,,,,,,,,,ØB,J,K
*BM-160_070_05G_06B,160,70,5,6,12,6008ZZ,FG 260,Ø40,1600,,,,,50,106,135
*BM-200_060_04G_06B,200,60,4,6,10,6210ZZ,FG 300,Ø50,1600,,,,,50,136,165
  BM-200_060_03G_08B,200,60,3,8,12,6210ZZ,FG 300,Ø50,2100,,,,,50,149,178
  BM-200_060_04G_08B,200,60,4,8,12,6210ZZ,FG 300,Ø50,3200,,,,,50,156,185
  BM-200_060_03G_10B,200,60,3,10,16,6210ZZ,FG 300,Ø50,3200,,,,,50,456,485
  BM-200_060_03G_13B,200,60,3,13,19,6210ZZ,FG 300,Ø50,3700,,,,,50,82,105
  BM-200_083_05G_08B,200,83,5,8,12,6210ZZ,FG 300,Ø50,3700,,,,,50,175,198
  BM-200_083_06G_08B,200,83,6,8,12,6210ZZ,FG 300,Ø50,3700,,,,,55,198,221
  BM-200_083_04G_10B,200,83,4,10,16,6210ZZ,FG 300,Ø50,3700,,,,,50,388,412
  BM-200_083_05G_10B,200,83,5,10,16,6210ZZ,FG 300,Ø50,3700,,,,,55,108,131
  BM-200_083_04G_13B,200,83,4,13,19,6210ZZ,FG 300,Ø50,3700,,,,,55,82,105
  BM-240_060_04G_08B,240,60,4,8,12,6210ZZ,FG 300,Ø50,3200,,,,,"50, 55",216,270
  BM-240_060_03G_10B,240,60,3,10,16,6210ZZ,FG 300,Ø50,3200,,,,,,,
  BM-240_060_03G_13B,240,60,3,13,19,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-240_083_05G_08B,240,83,5,8,12,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-240_083_06G_08B,240,83,6,8,12,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-240_083_04G_10B,240,83,4,10,16,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-240_083_05G_10B,240,83,5,10,16,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-240_083_04G_13B,240,83,4,13,19,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-245_030_02G_08B,240,30,2,8,12,6010ZZ,FG 260,Ø50,1600,,,,,,,
  BM-245_030_01G_16B,240,30,1,16,-,6010ZZ,FG 260,Ø50,2500,,,,,,,
 *BM-250_130_10G_08B,250,130,10,8,12,6210ZZ,FG 260,Ø50,3700,,,,,,,
 *BM-250_145_11G_08B,250,145,11,8,12,6210ZZ,FG 260,Ø50,3700,,,,,,,
 *BM-250_155_12G_08B,250,155,12,8,12,6210ZZ,FG 260,Ø50,3700,,,,,,,
  *BM-250_135_08G_10B,250,135,8,10,16,6210ZZ,FG 260,Ø50,3700,,,,,,,
  *BM-250_155_09G_10B,250,155,9,10,16,6210ZZ,FG 260,Ø50,3700,,,,,,,
  *BM-250_140_06G_13B,250,140,6,13,19,6210ZZ,FG 260,Ø50,3700,,,,,,,
  *BM-250_140_07G_13B,250,140,7,13,19,6210ZZ,FG 260,Ø50,3700,,,,,,,
  *BM-250_160_08G_13B,250,160,8,13,19,6210ZZ,FG 260,Ø50,3700,,,,,,,
  BM-300_060_03G_08B,300,60,3,8,12,6210ZZ,FG 300,Ø50,2100,,,,,,,
  BM-300_060_04G_08B,300,60,4,8,12,6210ZZ,FG 300,Ø50,3200,,,,,,,
  BM-300_060_03G_10B,300,60,3,10,16,6210ZZ,FG 300,Ø50,3200,,,,,,,
  BM-300_060_03G_13B,300,60,3,13,19,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-300_083_05G_08B,300,83,5,8,12,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-300_083_06G_08B,300,83,6,8,12,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-300_083_04G_10B,300,83,4,10,16,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-300_083_05G_10B,300,83,5,10,16,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-300_083_04G_13B,300,83,4,13,19,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-320_036_02G_08B,320,36,2,8,12.5,6210ZZ,FG 300,Ø50,1600,,,,,,,
  BM-320_060_04G_08B,320,60,4,8,12,6210ZZ,FG 300,Ø50,3200,,,,,,,
  BM-320_060_03G_10B,320,60,3,10,16,6210ZZ,FG 300,Ø50,3200,,,,,,,
  BM-320_060_03G_13B,320,60,3,13,19,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-320_070_05G_08B,320,70,5,8,12,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-320_070_04G_10B,320,70,4,10,16,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-320_083_06G_08B,320,83,6,8,12,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-320_083_05G_10B,320,83,5,10,16,6210ZZ,FG 300,Ø50,3700,,,,,,,
  BM-320_083_04G_13B,320,83,4,13,19,6210ZZ,FG 300,Ø50,3700,,,,,,,
