Pitch,Z,do,dp,Simplex,,,Duplex,,,Triplex,,
,,,,H,D1,A,H,D2,A,H,D3,A
3/8,8,28,24.89,15,8,20,15,8,22,15,8,32
3/8,9,31,27.85,18,8,20,18,8,22,18,8,32
3/8,10,34,30.82,20,8,20,20,8,22,20,8,32
3/8,11,37,33.8,22,8,25,22,10,25,22,10,35
3/8,12,40,36.8,25,10,25,25,10,25,25,10,35
3/8,13,43,39.79,28,10,25,28,10,28,28,10,35
3/8,14,46.3,42.84,31,10,31,31,10,31,31,10,35
3/8,15,49.3,45.81,34,10,34,34,10,34,34,12,35
3/8,16,52.3,48.82,37,10,31,37,10,34,37,12,35
3/8,17,55.3,51.83,40,10,28,40,12,30,40,12,35
3/8,18,58.3,54.85,43,10,28,43,12,30,43,12,35
3/8,19,61.3,57.87,45,10,28,45,12,30,45,12,35
3/8,20,64,60.89,46,10,28,46,12,30,46,12,35
3/8,21,71,66.93,50,12,28,50,12,30,50,14,40
3/8,22,75,69.95,52,12,28,52,12,30,52,14,40
3/8,23,80,72.97,54,12,28,54,12,30,54,14,40
3/8,24,80,76,57,12,28,57,12,30,57,14,40
3/8,25,83,79.02,60,12,28,60,12,30,60,14,40
3/8,26,86,82.05,60,12,28,67,12,30,67,14,40
3/8,27,86,85.05,60,12,28,70,12,30,70,14,40
3/8,28,89,88.09,60,12,28,73,12,30,73,14,40
3/8,29,90.7,91.12,60,12,28,76,12,30,76,14,40
3/8,30,94.7,91.12,60,12,28,79,12,30,79,14,40
3/8,30,94.7,91.12,60,12,28,79,12,30,79,14,40
3/8,31,98.3,94.15,65,14,30,80,16,30,80,16,40
3/8,32,101.3,97.17,65,14,30,80,16,30,80,16,40
3/8,33,104.3,100.2,65,14,30,80,16,30,80,16,40
3/8,34,107.3,103.23,65,14,30,85,16,30,85,16,40
3/8,35,110.4,106.26,65,14,30,85,16,30,85,16,40
3/8,36,113.4,109.29,70,14,30,90,16,30,90,16,40
3/8,37,116.4,112.32,70,14,30,90,16,30,90,16,40
3/8,38,119.5,115.35,70,14,30,90,16,30,90,16,40
3/8,39,122.5,118.37,70,14,30,90,16,30,90,16,40
3/8,40,125.5,121.4,70,14,30,90,16,40,90,16,56
3/8,41,128.5,124.43,78,14,32,90,16,40,90,16,56
3/8,42,131.6,127.46,78,14,32,90,16,40,90,16,56
3/8,43,134.6,130.49,78,14,32,90,16,40,90,16,56
3/8,44,137.6,133.52,78,14,32,90,16,40,90,16,56
3/8,45,140.7,136.55,78,14,32,90,16,40,90,16,56
3/8,46,143.7,139.58,78,14,32,90,16,40,90,16,56
3/8,47,146.7,142.61,78,14,32,90,16,40,90,16,56
3/8,48,149.7,145.64,78,14,32,90,16,40,90,16,56
3/8,49,152.7,148.66,78,14,32,90,16,40,90,16,56
3/8,50,155.7,151.69,78,14,32,90,16,40,90,16,56
3/8,51,158.7,154.72,78,14,32,90,16,40,90,16,56
3/8,52,161.8,157.75,78,14,32,90,16,40,90,16,56
3/8,53,164.8,160.78,78,14,32,90,16,40,90,16,56
3/8,54,167.8,163.82,78,14,32,90,16,40,90,16,56
3/8,55,170.8,166.85,78,14,32,90,16,40,90,16,56
3/8,56,173.8,169.88,78,14,32,90,16,40,90,16,56
3/8,57,176.9,172.91,78,14,32,90,16,40,90,16,56
3/8,58,179.9,175.93,78,14,32,90,16,40,90,16,56
3/8,59,183,178.96,78,14,32,90,16,40,90,16,56
3/8,60,186,181.99,78,14,32,90,16,40,90,16,56
3/8,62,192.1,188.06,78,14,32,90,16,40,90,16,56
3/8,64,198.2,194.12,78,14,32,90*,16,40,90*,16,56
3/8,65,201.6,197.15,78*,14,32,90*,16,40,90*,16,56
3/8,66,204.6,200.18,78*,14,32,90*,16,40,90*,16,56
3/8,68,210.7,206.24,78*,14,32,90*,16,40,90*,16,56
3/8,70,216.7,212.3,78*,14,32,90*,16,40,90*,16,56
3/8,72,222.8,218.37,78*,14,32,90*,16,40,90*,16,56
3/8,75,231.9,227.46,78*,14,32,90*,16,40,90*,16,56
3/8,76,234.9,230.49,78*,14,32,90*,16,40,90*,16,56
3/8,78,241,236.55,78*,14,32,90*,16,40,90*,16,56
3/8,80,247.1,242.61,78*,14,32,90*,16,40,90*,16,56
3/8,85,262.2,257.77,80*,14,32,90*,16,40,90*,16,56
3/8,90,277.2,272.93,80*,14,32,90*,16,40,90*,16,56
3/8,95,292.5,288.08,80*,14,32,90*,16,40,90*,16,56
3/8,100,307.7,303.25,80*,14,32,90*,16,40,90*,16,56
3/8,110,338,333.55,80*,14,32,90*,16,40,90*,16,56
3/8,114,349.5,345.68,80*,14,32,90*,16,40,90*,16,56
3/8,120,368.3,363.86,80*,14,32,90*,16,40,90*,16,56
3/8,125,383.5,379.02,80*,14,32,90*,16,40,90*,16,56
1/2,8,37.2,33.18,20,10,25,20,10,32,20,10,46
1/2,9,41,37.13,24,10,25,24,10,32,24,12,46
1/2,10,45.2,41.1,26,10,25,26,10,32,26,12,46
1/2,11,48.7,45.07,29,10,25,29,10,32,29,12,46
1/2,12,53,49.07,33,10,28,35,12,35,35,14,50
1/2,13,57.4,53.06,37,10,28,38,12,35,38,14,50
1/2,14,61.8,57.07,41,10,28,42,12,35,42,14,50
1/2,15,65.5,61.09,45,10,28,46,12,35,46,14,50
1/2,16,69.5,65.1,50,12,28,50,14,35,50,16,50
1/2,17,73.6,69.11,52,12,28,54,14,35,54,16,50
1/2,18,77.8,73.14,56,12,28,58,14,35,58,16,50
1/2,19,81.7,77.16,60,12,28,62,14,35,62,16,50
1/2,20,85.8,81.19,64,12,28,66,14,35,66,16,50
1/2,21,89.7,85.22,68,12,28,70,16,40,70,16,55
1/2,22,93.8,89.24,70,12,28,70,16,40,70,16,55
1/2,23,98.2,93.27,70,14,28,70,16,40,70,16,55
1/2,24,101.8,97.29,70,14,28,75,16,40,75,16,55
1/2,25,105.8,101.33,70,14,28,80,16,40,80,16,55
1/2,26,110,105.36,70,16,30,85,16,40,85,20,55
1/2,27,114,109.4,70,16,30,85,16,40,85,20,55
1/2,28,118,113.42,70,16,30,90,16,40,90,20,55
1/2,29,122,117.46,80,16,30,95,16,40,100,20,55
1/2,30,126.1,121.15,80,16,30,100,16,40,100,20,55
1/2,31,130.2,125.54,90,16,30,100,20,40,100,20,55
1/2,32,134.3,129.56,90,16,30,100,20,40,100,20,55
1/2,33,138.4,133.6,90,16,30,100,20,40,100,20,55
1/2,34,142.6,137.64,90,16,30,100,20,40,100,20,55
1/2,35,146.7,141.68,90,16,30,100,20,40,120,25,55
1/2,36,151,145.72,90,16,35,100,20,40,120,25,55
1/2,37,154.6,149.76,90,16,35,100,20,40,120,25,55
1/2,38,158.6,153.8,90,16,35,100,20,40,120,25,55
1/2,39,162.7,157.83,90,16,35,100,20,40,120,25,55
1/2,40,166.8,161.87,90*,16,40,108*,20,50,120*,25,60
1/2,41,171.4,165.91,90*,16,40,108*,20,50,120*,25,60
1/2,42,175.4,169.94,90*,16,40,108*,20,50,120*,25,60
1/2,43,179.7,173.98,90*,16,40,108*,20,50,120*,25,60
1/2,44,183.8,178.02,90*,16,40,108*,20,50,120*,25,60
1/2,45,188,182.07,90*,16,40,108*,20,50,120*,25,60
1/2,46,192.1,186.1,90*,16,40,108*,20,50,120*,25,60
1/2,47,196.2,190.14,90*,16,40,108*,20,50,120*,25,60
1/2,48,200.3,194.18,90*,16,40,108*,20,50,120*,25,60
1/2,49,204.3,198.22,90*,16,40,108*,20,50,120*,25,60
1/2,50,208.3,202.26,90*,16,40,108*,20,50,120*,25,60
1/2,51,212.1,206.3,90*,16,40,108*,20,50,120*,25,60
1/2,52,216.1,210.34,90*,16,40,108*,20,50,120*,25,60
1/2,53,220.2,214.37,90*,16,40,108*,20,50,120*,25,60
1/2,54,224.1,218.43,90*,16,40,108*,20,50,120*,25,60
1/2,55,228.1,222.46,90*,16,40,108*,20,50,120*,25,60
1/2,56,232.2,226.5,90*,16,40,108*,20,50,120*,25,60
1/2,57,236.4,230.54,90*,16,40,108*,20,50,120*,25,60
1/2,58,240.5,234.58,90*,16,40,108*,20,50,120*,25,60
1/2,59,244.5,238.62,90*,16,40,108*,20,50,120*,25,60
1/2,60,248.6,242.66,90*,16,40,108*,20,50,120*,25,60
1/2,62,256.9,250.74,90*,16,40,108*,20,50,120*,25,60
1/2,64,265.1,258.82,90*,16,40,108*,20,50,120*,25,60
1/2,65,269,262.86,90*,16,40,108*,20,50,120*,25,60
1/2,66,273,266.91,90*,16,40,108*,20,50,120*,25,60
1/2,68,281,274.99,90*,16,40,108*,20,55,120*,25,60
1/2,70,289,283.07,90*,16,40,108*,20,55,120*,25,60
1/2,72,297.2,291.15,90*,16,40,108*,20,55,120*,25,60
1/2,75,309.2,303.28,90*,16,40,108*,20,55,120*,25,60
1/2,76,313.3,307.32,90*,16,40,108*,20,55,120*,25,60
1/2,78,321.4,315.4,90*,16,40,108*,20,55,120*,25,60
1/2,80,329.4,323.49,90*,16,40,108*,20,55,120*,25,60
1/2,85,349,343.69,90*,16,40,110*,20,55,120*,25,60
1/2,90,369.9,363.9,90*,16,40,110*,20,55,120*,25,60
1/2,95,390.1,384.11,90*,16,40,110*,20,55,120*,25,60
1/2,100,410.3,404.32,90*,16,40,110*,20,55,120*,25,60
1/2,110,450.7,444.74,90*,16,40,110*,20,55,120*,25,60
1/2,114,466.9,460.91,90*,16,40,110*,20,55,120*,25,60
