Grooves Section,PRODUCT CODE,PCD,NO OF GROOVES,BUSH,TYPE,Outside,Max. Bore,,L,N,M
,,,,,,OD,Metric,Inch,,,
Z,BM-1Z-67-T1FG*,67,1,1108,1,71,28,"1⅛""",16,5.8,-
Z,BM-2Z-67-T6FG*,67,2,1108,6,71,28,"1⅛""",28,5.8,-
Z,BM-3Z-67-T6FG,67,3,1108,6,71,28,"1⅛""",40,5.8,-
,,,,,,,,,,,
Z,BM-1Z-71-T1FG*,71,1,1108,1,75,28,"1⅛""",16,5.8,-
Z,BM-2Z-71-T6FG*,71,2,1108,6,75,28,"1⅛""",28,5.8,-
Z,BM-3Z-71-T6FG,71,3,1108,6,75,28,"1⅛""",40,5.8,-
Z,BM-1Z-75-T1FG*,75,1,1108,1,79,28,"1⅛""",16,5.8,-
Z,BM-2Z-75-T6FG*,75,2,1210,6,79,32,"1¼""",28,6.6,-
Z,BM-3Z-75-T6FG,75,3,1210,6,79,32,"1¼""",40,6.6,-
Z,BM-1Z-80-T1FG*,80,1,1210,1,84,32,"1¼""",16,6.6,-
Z,BM-2Z-80-T6FG*,80,2,1108,6,84,32,"1¼""",28,9.8,-
Z,BM-3Z-80-T6FG*,80,3,1210,6,84,32,"1¼""",40,6.6,-
Z,BM-4Z-80-T6FG*,80,4,1210,6,84,32,"1¼""",52,6.6,-
,,,,,,,,,,,
Z,BM-1Z-85-T1FG,85,1,1210,1,89,32,"1¼""",16,6.6,-
Z,BM-2Z-85-T6FG*,85,2,1610,6,89,42,"1 ⅝""",28,16.6,-
Z,BM-3Z-85-T6FG*,85,3,1610,6,89,42,"1 ⅝""",40,16.6,-
Z,BM-4Z-85-T6FG*,85,4,1610,6,89,42,"1 ⅝""",52,16.6,-
Z,BM-5Z-85-T6FG,85,5,1610,6,89,42,"1 ⅝""",64,16.6,-
,,,,,,,,,,,
Z,BM-1Z-90-T1FG*,90,1,1210,1,94,32,"1¼""",16,6.6,-
Z,BM-2Z-90-T2FG*,90,2,1610,2,94,42,"1 ⅝""",28,16.6,-
Z,BM-3Z-90-T2FG*,90,3,1610,2,94,42,"1 ⅝""",40,25.4,-
Z,BM-4Z-90-T6FG*,90,4,1610,6,94,42,"1 ⅝""",52,16.6,-
Z,BM-5Z-90-T6FG,90,5,1610,6,94,42,"1 ⅝""",64,16.6,-
Z,BM-6Z-90-T6FG,90,6,1610,6,94,42,"1 ⅝""",76,16.6,-
,,,,,,,,,,,
,,,,,,,,,,,
Z,BM-1Z-95-T1FG*,95,1,1210,1,99,32,"1¼""",16,6.6,-
Z,BM-2Z-95-T6FG*,95,2,1610,6,99,42,"1 ⅝""",28,16.6,-
Z,BM-3Z-95-T6FG*,95,3,1610,6,99,42,"1 ⅝""",40,16.6,-
Z,BM-4Z-95-T6FG*,95,4,1610,6,99,42,"1 ⅝""",52,16.6,-
Z,BM-5Z-95-T6FG,95,5,1610,6,99,42,"1 ⅝""",64,16.6,-
Z,BM-6Z-95-T6FG,95,6,1610,6,99,42,"1 ⅝""",76,16.6,-
,,,,,,,,,,,
