5MM PITCH HIGH TORQUE PULLEYS (15MM WIDE BELTS),,,,,,,,,,,,,,,,,,,
Pulley Designation,Pitch,Belt Width,No. of Teeth,Pulley Type,Bush No.,Max Bore,,Pitch Dia,Outside Dia,A,F,J,K,L,M,N,,,
,,,,,,Metric,Inch,,,,,,,,,,,,
28-05-2015,5,15,28,1F,-,19,03-Apr,44.56,43.42,49,22,-,-,30,8,31,,,
32-5-15,5,15,32,1F,-,22,07-Aug,50.93,49.79,56,22,-,-,30,8,38,,,
34-5-15,5,15,34,2F,1008,25,1,54.11,52.97,57,22,-,-,22,0,0,,,
36-5-15,5,15,36,2F,1108,28,1 1/8,57.3,56.15,62,22,-,-,22,0,0,,,
38-5-15,5,15,38,2F,1108,28,1 1/8,60.48,59.34,66,22,-,-,22,0,0,,,
40-5-15,5,15,40,2F,1108,28,1 1/8,63.66,62.52,70,22,-,-,22,0,0,,,
44-5-15,5,15,44,2F,1108,28,1 1/8,70.03,68.89,75,22,-,-,22,0,0,,,
48-5-15,5,15,48,2F,1210,32,1 1/4,76.39,75.25,79,22,-,-,25,3,59,,,
56-5-15,5,15,56,2F,1210,32,1 1/4,89.13,87.98,95,22,-,-,25,3,75,,,
64-5-15,5,15,64,2F,1210,32,1 1/4,101.86,100.72,106,22,-,-,25,3,80,,,
72-5-15,5,15,72,11,1610,42,1 5/8,114.59,113.45,-,22,-,-,25,3,92,,,
80-5-15,5,15,80,11,1610,42,1 5/8,127.32,126.18,-,22,-,-,25,3,92,,,
90-5-15,5,15,90,11,1610,42,1 5/8,143.24,142.1,-,22,-,-,32,12,110,,,
112-5-15,5,15,112,11,2012,50,2,178.25,177.11,-,20,-,199,32,6,106,,,
136-5-15,5,15,136,9,2012,50,2,216.45,215.31,-,20,-,222,32,6,106,,,
150-5-15,5,15,150,9,2012,50,2,238.73,237.59,-,20,-,222,32,6,106,,,
,,,,,,,,,,,,,,,,,,,
8MM PITCH HIGH TORQUE PULLEYS (20MM WIDE BELTS),,,,,,,,,,,,,,,,,,,
Pulley Designation,Pitch,Belt Width,No. of Teeth,Pulley Type,Bush No.,Max Bore,,Pitch Dia,Outside Dia,A,F,J,K,L,M,N,,,
,,,,,,Metric,Inch,,,,,,,,,,,,
22-08-2020,8,20,22,4F,1008,25,1,56.02,54.65,62,26,41,4,22,0,-,,,
24-08-2020,8,20,24,4F,1108,28,1 1/8,61.12,59.75,70,26,44,4,22,0,-,,,
26-08-2020,8,20,26,4F,1108,28,1 1/8,66.21,64.84,75,26,44,4,22,0,-,,,
28-08-2020,8,20,28,4F,1108,28,1 1/8,71.3,70.08,79,26,50,4,22,0,-,,,
30-08-2020,8,20,30,4F,1108,28,1 1/8,76.39,75.13,86,26,55,4,22,0,-,,,
32-8-20,8,20,32,2F,1610,42,1 5/8,81.49,80.16,90,26,0,0,26,0,-,,,
34-8-20,8,20,34,2F,1610,42,1 5/8,86.58,85.22,95,26,0,0,26,0,-,,,
36-8-20,8,20,36,2F,1610,42,1 5/8,91.67,90.3,98,26,0,0,26,0,-,,,
38-8-20,8,20,38,2F,1610,42,1 5/8,96.77,95.39,106,26,0,0,26,0,-,,,
40-8-20,8,20,40,2F,1610,42,1 5/8,101.86,100.49,111,26,0,0,26,0,92,,,
44-8-20,8,20,44,2F,2012,50,2,112.05,110.67,119,26,0,0,32,6,104,,,
48-8-20,8,20,48,2F,2012,50,2,122.23,120.86,135,26,0,0,32,6,111,,,
